0,1,2,3,4,5,6,7
{566525: 'Shang-Chi and the Legend of the Ten Rings'},150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1337: 'Tony Leung Chiu-wai'},{1144604: 'Destin Daniel Cretton'},7.673,6965
{880313: 'The Wrath of God'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",{140538: 'Juan Minujín'},{1321245: 'Sebastián Schindel'},6.442,113
{346910: 'The Predator'},88000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1650301: 'Trevante Rhodes'},{1108: 'Shane Black'},5.621,3836
{912598: 'Bubble'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{3447750: 'Riria'},{1148353: 'Tetsuro Araki'},7.493,211
{829557: '365 Days: This Day'},0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",{2349355: 'Michele Morrone'},{1192152: 'Tomasz Mandes'},5.849,691
{799876: 'The Outfit'},0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1059597: 'Zoey Deutch'},{221850: 'Graham Moore'},7.097,346
{628878: 'Panama'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'PR', 'name': 'Puerto Rico'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{1059597: 'Zoey Deutch'},{20193: 'Mark Neveldine'},5.9,68
{843241: 'The Seven Deadly Sins: Cursed by Light'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",{149894: 'Yuki Kaji'},{1250035: 'Takayuki Hamana'},7.877,371
{524434: 'Eternals'},200000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{512991: 'Richard Madden'},{1395183: 'Chloé Zhao'},7.081,6047
{774825: 'The Ice Age Adventures of Buck Wild'},0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",{11108: 'Simon Pegg'},{5718: 'John C. Donkin'},6.777,1311
{945657: 'Titanic 666'},0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{50668: 'Jamie Bamber'},{21825: 'Nick Lyon'},5.6,49
{689700: 'Clean'},0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{1377670: 'Glenn Fleshler'},{87494: 'Paul Solet'},6.589,192
{860623: 'Last Man Down'},0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",{1481440: 'Daniel Stisen'},{3076703: 'Fansu Njie'},6.247,524
{459151: 'The Boss Baby: Family Business'},82000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",{11006: 'James Marsden'},{18864: 'Tom McGrath'},7.537,2014
{397567: 'Along with the Gods: The Two Worlds'},18300000,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",{63442: 'Cha Tae-hyun'},{84969: 'Kim Yong-hwa'},8.103,630
{708471: 'The Last Zombie'},0,"[{'id': 27, 'name': 'Horror'}]","[{'iso_3166_1': 'AR', 'name': 'Argentina'}]",{143604: 'Matías Desiderio'},{2627357: 'Martín Basterretche'},5.7,3
