title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
추격자,120456666,범죄,South Korea,Ha Jung-woo,Na Hong-jin,7.799,983,5.459974388546225
서든 데쓰,35000000,액션,United States of America,Powers Boothe,Peter Hyams,5.9,559,4.458830195028929
트래픽,48000000,스릴러,Germany,Benicio del Toro,Steven Soderbergh,7.068,1716,5.603402757886094
드림 쏭,60000000,모험,China,J.K. Simmons,Ash Brannon,6.109,234,4.215789360205669
레전드,24500000,모험,United States of America,Mia Sara,Ridley Scott,6.276,959,4.84115349494153
피라냐콘다,1000000,공포,United States of America,Rachel Hunter,Jim Wynorski,5.2,114,4.00979721072234
에볼루션,80000000,코미디,United States of America,Julianne Moore,Ivan Reitman,6.03,1830,5.081847493185842
강철의 연금술사,10000000,액션,Japan,Atomu Mizuishi,Fumihiko Sori,5.3,440,4.2334096646178985
비니스,89,공포,United States of America,Kurt Caceres,Ben Ketai,5.4,122,4.030815090813561
핸즈 오브 스톤,20000000,드라마,Panama,Edgar Ramírez,Jonathan Jakubowicz,6.323,302,4.323577912613661
펠론,2900000,액션,United States of America,Val Kilmer,Ric Roman Waugh,7.207,682,4.950397259062994
퀸 오브 뱀파이어,35000000,드라마,Australia,Aaliyah,Michael Rymer,6.049,834,4.68264827760961
프로디지,6000000,공포,Canada,Jackson Robert Scott,Nicholas McCarthy,6.151,835,4.719837164142775
빅 팻 라이어,15000000,가족,United States of America,Paul Giamatti,Shawn Levy,5.8,681,4.508404807042358
호텔 르완다,17500000,드라마,Italy,Sophie Okonedo,Terry George,7.719,2340,6.239437749291447
당산대형,100000,액션,Hong Kong,Maria Yi,Lo Wei,7.2,557,4.810825491644613
쿠폰의 여왕,7000000,코미디,United States of America,Kirby Howell-Baptiste,Gita Pullapilly,6.454,230,4.25747322144268
가디언,10000000,드라마,United States of America,Ashton Kutcher,Andrew Davis,7.111,1233,5.363257586537913
다이얼 M을 돌려라,1400000,범죄,United States of America,Grace Kelly,Alfred Hitchcock,8.032,2047,6.297986125676654
랜드 오브 데드,15000000,공포,Canada,Bryan Renfro,George A. Romero,6.161,1258,4.944555380951517
슈퍼 마리오,48000000,모험,United Kingdom,John Leguizamo,Rocky Morton,4.228,935,4.0379546668655255
숲속으로,50000000,판타지,United States of America,James Corden,Rob Marshall,5.763,3885,5.251304135920791
